Image,Registration Status,X,Y,Z
0,success,0.0,-2.3316529343562857,-4.511317552175698
1,success,4.134440980624157,-2.3316529343562857,-4.28918461109488
2,success,4.134440980624157,-2.3616939476215606,-3.6538833877328516
3,success,4.089927483083548,-2.3616939476215606,-3.6172839845530076
4,success,4.089927483083548,-2.363565393520713,-3.3657511404332587
5,success,4.084838774107018,-2.363565393520713,-3.9017508712309477
6,success,4.084838774107018,-2.3508323192315967,-4.100262175634084
7,success,4.117560199218326,-2.3508323192315967,-4.6907309829872075
8,success,4.117560199218326,-2.308491160854029,-4.7804857573412
9,success,4.144639314825309,-2.308491160854029,-5.349037401590037
10,success,4.144639314825309,-2.300898189865726,-5.244191244257827
11,success,4.1810401010012015,-2.300898189865726,-5.6507524595385865
12,success,4.1810401010012015,-2.2745616270403604,-5.366662156235075
13,success,4.205534139727503,-2.2745616270403604,-5.656714750614768
14,success,4.205534139727503,-2.2267224086057866,-5.149657171323451
15,success,4.2168400010277844,-2.2267224086057866,-5.161517437182693
16,success,4.2168400010277844,-2.184445533094141,-4.403056147862146
17,success,4.232037528273152,-2.184445533094141,-4.181223054802478
18,success,4.232037528273152,-2.166989343753439,-3.246536432638527
19,success,4.091786553334195,-2.166989343753439,-3.1490797479478143
20,success,4.091786553334195,-2.176718170662851,-2.5285217123264228
21,success,4.021526489392248,-2.176718170662851,-3.1837101850962934
22,success,4.021526489392248,-2.240954016690337,-3.353944566463859
23,success,4.097741252127191,-2.240954016690337,-4.267892302757
24,success,4.097741252127191,-2.215196400217345,-4.479169701352025
25,success,4.134975169205485,-2.215196400217345,-5.219459865235655
26,success,4.134975169205485,-2.1820384164962814,-5.109701046558543
27,success,4.1520683523447985,-2.1820384164962814,-5.6582503602693475
28,success,4.1520683523447985,-2.198822380929948,-5.32315270453183
29,success,4.15633250958629,-2.198822380929948,-5.653951022477071
30,success,4.15633250958629,-2.236898868353815,-5.072514340054707
31,success,4.116228257521962,-2.236898868353815,-5.007309809340985
32,success,4.116228257521962,-2.2788576481512046,-4.22742364183707
33,success,4.102277750194945,-2.2788576481512046,-3.8890745316802042
34,success,4.102277750194945,-2.2714780782023802,-2.9067613707719273
35,success,3.9200496714155446,-2.2714780782023802,-2.710900811910142
36,success,3.9200496714155446,-2.240058034485087,-2.032723110916821
37,success,3.8611823442122786,-2.240058034485087,-2.6849528577793986
38,success,3.8611823442122786,-2.2818329784264884,-2.9496211646138373
39,success,4.0389839592666705,-2.2818329784264884,-4.030493442360913
40,success,4.0389839592666705,-2.305363363554596,-4.407150492716963
41,success,4.122594988592021,-2.305363363554596,-5.128433862546657
42,success,4.122594988592021,-2.3323325012479605,-5.153825923851179
43,success,4.182532971863218,-2.3323325012479605,-5.563554936671925
44,success,4.182532971863218,-2.3537740116223733,-5.235118811217607
45,success,4.179910714893397,-2.3537740116223733,-5.170641511689204
46,success,4.179910714893397,-2.35775156547006,-4.457137763946139
47,success,4.166276674947575,-2.35775156547006,-4.0322239818753545
48,success,4.166276674947575,-2.3581800095672616,-3.1222356386939123
49,success,4.038648546501449,-2.3581800095672616,-2.9005195167606
50,success,4.038648546501449,-2.3177164903669025,-2.462493022242159
51,success,4.022413608374155,-2.3177164903669025,-3.125419789770961
52,success,4.022413608374155,-2.3176204545620855,-3.3710004002393026
53,success,4.088976042899115,-2.3176204545620855,-4.172999159922007
54,success,4.088976042899115,-2.329087845317918,-4.3990426796122115
55,success,4.0891709048608105,-2.329087845317918,-5.035357102293956
56,success,4.0891709048608105,-2.335621909732497,-5.098672039411817
57,success,4.166577660997954,-2.335621909732497,-5.6049106935743715
58,success,4.166577660997954,-2.3324175440355304,-5.414680050467172
59,success,4.198976685192514,-2.3324175440355304,-5.615916027145682
60,success,4.198976685192514,-2.3393554611060985,-5.077152221075938
61,success,4.167528567234232,-2.3393554611060985,-4.862770746589469
62,success,4.167528567234232,-2.3732373311968815,-4.112151219825047
63,success,4.134440653280723,-2.3732373311968815,-3.625056189737414
64,success,4.134440653280723,-2.3319540523190874,-2.557753535686559
65,success,3.910186520100745,-2.3319540523190874,-2.2357424036648967
66,success,3.910186520100745,-2.2670463591103727,-1.5861705292973967
67,success,3.8748654868124066,-2.2670463591103727,-2.298249321276051
68,success,3.8748654868124066,-2.2973136722883543,-2.6504748817764243
69,success,4.073881218592366,-2.2973136722883543,-3.764480874839618
70,success,4.073881218592366,-2.3267851469922194,-4.160169891959032
71,success,4.12373766682457,-2.3267851469922194,-4.840494205653568
72,success,4.12373766682457,-2.3056119566474327,-4.8987327050811675
73,success,4.177919543290025,-2.3056119566474327,-5.346450694277007
74,success,4.177919543290025,-2.2601104604021844,-5.00035662078986
75,success,4.207100540734436,-2.2601104604021844,-5.056747465184877
76,success,4.207100540734436,-2.1852796131756484,-4.300170062366195
77,success,4.260339242474458,-2.1852796131756484,-3.9764854998741335
78,success,4.260339242474458,-2.1184984106612905,-2.833961784455383
79,success,4.096458852919571,-2.1184984106612905,-2.6806697429425923
80,success,4.096458852919571,-2.144212838591515,-2.0417537961622396
81,success,4.04357348724456,-2.144212838591515,-2.831728718885426
82,success,4.04357348724456,-2.2750334694913916,-3.1518560765762436
83,success,4.182790954144511,-2.2750334694913916,-4.122435970950951
84,success,4.182790954144511,-2.326272387082965,-4.440193613623896
85,success,4.237361130954328,-2.326272387082965,-5.023274922899559
86,success,4.237361130954328,-2.3160794326894583,-5.025422139989683
87,success,4.297088137619151,-2.3160794326894583,-5.40625335520574
88,success,4.297088137619151,-2.3156581724332272,-5.095550159062413
89,success,4.29649466885773,-2.3156581724332272,-5.031104229401952
90,success,4.29649466885773,-2.3415440762153437,-4.338891626454034
91,success,4.287222402458524,-2.3415440762153437,-3.875314655306064
92,success,4.287222402458524,-2.3707439054466697,-2.9544870305093918
93,success,4.090006027410673,-2.3707439054466697,-2.6949319817789767
94,success,4.090006027410673,-2.378292013657134,-2.2794691377720504
95,success,4.0665697637420655,-2.378292013657134,-2.9125632723365253
96,success,4.0665697637420655,-2.4171731520788606,-3.310511345061029
97,success,4.253835041099117,-2.4171731520788606,-4.11058707402156
98,success,4.253835041099117,-2.4513803254771243,-4.494051402562211
99,success,4.368357438471694,-2.4513803254771243,-4.95587147634045
100,success,4.368357438471694,-2.489063387725155,-5.125743542243953
101,success,4.29871027580369,-2.489063387725155,-5.418487470613253
102,success,4.29871027580369,-2.5246131682365704,-5.390329682300496
103,success,4.263497790299182,-2.5246131682365704,-5.426587486966118
104,success,4.263497790299182,-2.518346872357613,-5.065111768240016
105,success,4.2414655254462845,-2.518346872357613,-4.723415952006488
106,success,4.2414655254462845,-2.5001526407160046,-4.088986346139157
107,success,4.232849908397664,-2.5001526407160046,-3.5346689656826866
108,success,4.232849908397664,-2.437179922063902,-2.708762738512247
109,success,4.074552300457688,-2.437179922063902,-2.605350283477393
110,success,4.074552300457688,-2.416480686059711,-2.4776527627644462
111,success,4.126433033244157,-2.416480686059711,-3.249090122042326
112,success,4.126433033244157,-2.460597248612858,-3.7316405914035946
113,success,4.186675148408735,-2.460597248612858,-4.427253909282158
114,success,4.186675148408735,-2.495942657978756,-4.755989918917968
115,success,4.231548944626616,-2.495942657978756,-5.200732021402281
116,success,4.231548944626616,-2.538845686160075,-5.339741090338908
117,success,4.184690800096821,-2.538845686160075,-5.617703128962392
118,success,4.184690800096821,-2.5226062128506443,-5.5440265110731115
119,success,4.074868581954429,-2.5226062128506443,-5.65246765490304
120,success,4.074868581954429,-2.4609389498473577,-5.206163604486429
121,success,3.997870990373921,-2.4609389498473577,-4.998482596682658
122,success,3.997870990373921,-2.4065894446036817,-4.2689383854925245
123,success,4.022377828497444,-2.4065894446036817,-3.835340734504883
124,success,4.022377828497444,-2.336175289656883,-2.877046164563037
125,success,3.9052915236143244,-2.336175289656883,-2.7247678474700563
126,success,3.9052915236143244,-2.291277464260687,-2.2596402379673193
127,success,3.9288686824773738,-2.291277464260687,-2.982963181568059
128,success,3.9288686824773738,-2.3379788710853067,-3.2666250454161756
129,success,4.067056262227642,-2.3379788710853067,-4.101932009168864
130,success,4.067056262227642,-2.3879491629493614,-4.344945749571097
131,success,4.102635593066162,-2.3879491629493614,-4.839461500598034
132,success,4.102635593066162,-2.3930323598711523,-4.875733946161711
133,success,4.1327065757824695,-2.3930323598711523,-5.268998326783904
134,success,4.1327065757824695,-2.369594156023489,-5.022310408004409
135,success,4.118151347830087,-2.369594156023489,-5.020816420934897
136,success,4.118151347830087,-2.3531229646336627,-4.368332449070415
137,success,4.118606229139868,-2.3531229646336627,-3.9954052336454025
138,success,4.118606229139868,-2.3289704885537197,-3.0635271614755233
139,success,3.992352844918104,-2.3289704885537197,-2.8415414904160605
140,success,3.992352844918104,-2.2792126521887717,-2.3151289835732696
141,success,3.981035865461909,-2.2792126521887717,-2.989367610632675
142,success,3.981035865461909,-2.3304089472457274,-3.2521067310690435
143,success,4.065852849158034,-2.3304089472457274,-4.077365629765788
144,success,4.065852849158034,-2.3764756861292247,-4.315621405075824
145,success,4.069731999559439,-2.3764756861292247,-4.820725402317118
146,success,4.069731999559439,-2.360450112262273,-4.818897130297172
147,success,4.114241494189169,-2.360450112262273,-5.250874240975993
148,success,4.114241494189169,-2.323929155332238,-5.0434025762479795
149,success,4.172495353820538,-2.323929155332238,-5.167723744407147
150,success,4.172495353820538,-2.29605033015248,-4.519338265814602
151,success,4.185249540584863,-2.29605033015248,-4.18689176373575
152,success,4.185249540584863,-2.281956221240203,-3.200536434967504
153,success,4.041612893254052,-2.281956221240203,-2.7708406977413857
154,success,4.041612893254052,-2.2092775486421226,-1.7437554424808637
155,success,3.9215777231471476,-2.2092775486421226,-1.990870986830216
156,success,3.9215777231471476,-2.1709967495142903,-1.9169106019481887
157,success,4.059432916917541,-2.1709967495142903,-3.0965818662596036
158,success,4.059432916917541,-2.2151600609440028,-3.474198189010751
159,success,4.169616675556127,-2.2151600609440028,-4.315954256749107
160,success,4.169616675556127,-2.2693634703871672,-4.398711355694456
161,success,4.188378958508098,-2.2693634703871672,-4.855001970804613
162,success,4.188378958508098,-2.3421610574915364,-4.760597729427527
