X,Y,Z
-1.923160855,0.383051986,-0.491461269
-2.499054145,0.504090399,-0.284381899
-3.077562485,0.642200544,0.100104393
-3.513514575,0.777627364,0.620072941
-3.706998995,0.91669878,1.162439635
-3.650759375,1.075796594,1.583513803
-3.418363625,1.258177926,1.789082064
-3.106194065,1.454997209,1.759063928
-2.774909295,1.663186317,1.524532382
-2.413593265,1.898175784,1.136239819
-1.951144545,2.191161116,0.629484734
-1.311163205,2.56101677,0.017338585
-0.457025495,2.989656018,-0.664117034
0.579656385,3.423345276,-1.349501528
1.698767305,3.796727759,-1.962360805
2.753537215,4.064324204,-2.42433556
3.586499035,4.213342022,-2.705258641
4.078199165,4.253250815,-2.82268838
4.179386085,4.200305264,-2.807766748
3.920733895,4.070550098,-2.704427741
3.401429565,3.881117453,-2.547259992
2.752145375,3.657321321,-2.350027489
2.078190065,3.430058715,-2.136058094
1.430975715,3.219804478,-1.939933174
0.807733055,3.027990932,-1.791896832
0.173744385,2.836003887,-1.717961106
-0.495730265,2.618269501,-1.716483382
-1.194339225,2.360090306,-1.746626857
-1.881181225,2.068674787,-1.763454502
-2.498370705,1.776687198,-1.739901719
-2.998833465,1.531309287,-1.671008554
-3.358089965,1.370782163,-1.573402529
-3.580602185,1.303312304,-1.461251061
-3.694637415,1.299187887,-1.333750875
-3.729881925,1.298374166,-1.186287012
-3.703321355,1.240339513,-1.01766522
-3.613439105,1.093937721,-0.841340648
-3.440810675,0.879511839,-0.691023641
-3.166268975,0.672072256,-0.612957379
-2.774273915,0.573075694,-0.661039602
-2.251399695,0.669733235,-0.882909048
-1.593379565,0.989729091,-1.291979741
-0.818177415,1.47978238,-1.841204658
0.014675045,2.021482149,-2.422511319
0.803045615,2.481324487,-2.89996622
1.413040695,2.766621503,-3.164233361
1.714325195,2.851140772,-3.171346631
1.628202125,2.770260863,-2.952415896
1.158706685,2.59130216,-2.595339523
0.397253355,2.380281594,-2.198278569
-0.499531415,2.176617747,-1.83937874
-1.349211025,1.988658434,-1.565101497
-2.005209365,1.806149393,-1.380819445
-2.398095635,1.615546131,-1.253786396
-2.535351875,1.41710016,-1.134601507
-2.475277305,1.223504399,-0.985255465
-2.288078835,1.047037998,-0.804374422
-2.033975635,0.886579863,-0.635079329
-1.753514995,0.728808084,-0.53599645
-1.476964195,0.567569313,-0.543946484
-1.243141175,0.418143006,-0.650283734
-1.097040065,0.312743819,-0.80233988
-1.079619005,0.28003838,-0.934411467
-1.209416415,0.323328779,-1.000328911
-1.463400335,0.415799497,-0.988579165
-1.773567565,0.51814518,-0.919426516
-2.045746485,0.600509343,-0.830673292
-2.202797795,0.657868403,-0.752383812
-2.219461825,0.711074413,-0.695709764
-2.111299355,0.792423571,-0.649533052
-1.899578925,0.937906529,-0.600074999
-1.582904635,1.178727027,-0.560394504
-1.131744695,1.530618843,-0.570668296
-0.519396875,1.983125606,-0.690320717
0.237525505,2.487973584,-0.966515115
1.051510515,2.964607514,-1.390861694
1.775210425,3.324195676,-1.882104287
2.248352315,3.50678904,-2.307921269
2.345689135,3.508793641,-2.532057799
2.023057025,3.373720905,-2.473472138
1.340257295,3.154525392,-2.147979313
0.443227215,2.881184564,-1.654117167
-0.492007625,2.556709688,-1.128834979
-1.317617055,2.178198296,-0.679566382
-1.945999305,1.76626127,-0.337569245
-2.360750185,1.371791573,-0.07412901
-2.595983995,1.052121645,0.165215216
-2.710013665,0.84131371,0.418055481
